PRAGMA foreign_keys=OFF;
BEGIN TRANSACTION;
CREATE TABLE IF NOT EXISTS "light" (
	"id" INTEGER PRIMARY KEY,
	"name" TEXT,
	"r" REAL DEFAULT(1.0),
	"g" REAL DEFAULT(1.0),
	"b" REAL DEFAULT(1.0),
	"radius" REAL DEFAULT(1.0)
);
INSERT INTO light VALUES(1,'tiny white',1.0,1.0,1.0,1.0);
INSERT INTO light VALUES(2,'small white',1.0,1.0,1.0,2.0);
INSERT INTO light VALUES(3,'small white',1.0,1.0,1.0,3.0);
INSERT INTO light VALUES(4,'small white',1.0,1.0,1.0,4.0);
INSERT INTO light VALUES(5,'medium white',1.0,1.0,1.0,5.0);
INSERT INTO light VALUES(6,'medium white',1.0,1.0,1.0,6.0);
INSERT INTO light VALUES(7,'medium white',1.0,1.0,1.0,7.0);
INSERT INTO light VALUES(8,'large white',1.0,1.0,1.0,8.0);
INSERT INTO light VALUES(9,'large white',1.0,1.0,1.0,9.0);
INSERT INTO light VALUES(10,'large white',1.0,1.0,1.0,10.0);
INSERT INTO light VALUES(11,'tiny dim white',0.29999999999999998889,0.29999999999999998889,0.29999999999999998889,1.0);
INSERT INTO light VALUES(12,'small dim white',0.29999999999999998889,0.29999999999999998889,0.29999999999999998889,2.0);
INSERT INTO light VALUES(13,'small dim white',0.29999999999999998889,0.29999999999999998889,0.29999999999999998889,3.0);
INSERT INTO light VALUES(14,'small dim white',0.29999999999999998889,0.29999999999999998889,0.29999999999999998889,4.0);
INSERT INTO light VALUES(15,'medium dim white',0.29999999999999998889,0.29999999999999998889,0.29999999999999998889,5.0);
INSERT INTO light VALUES(16,'medium dim white',0.29999999999999998889,0.29999999999999998889,0.29999999999999998889,6.0);
INSERT INTO light VALUES(17,'medium dim white',0.29999999999999998889,0.29999999999999998889,0.29999999999999998889,7.0);
INSERT INTO light VALUES(18,'large dim white',0.29999999999999998889,0.29999999999999998889,0.29999999999999998889,8.0);
INSERT INTO light VALUES(19,'large dim white',0.29999999999999998889,0.29999999999999998889,0.29999999999999998889,9.0);
INSERT INTO light VALUES(20,'large dim white',0.29999999999999998889,0.29999999999999998889,0.29999999999999998889,10.0);
INSERT INTO light VALUES(21,'magic light',0.29999999999999998889,0.29999999999999998889,1.0,2.0);
INSERT INTO light VALUES(22,'magic light',0.29999999999999998889,0.29999999999999998889,1.0,3.0);
INSERT INTO light VALUES(23,'magic light',0.29999999999999998889,0.29999999999999998889,1.0,4.0);
INSERT INTO light VALUES(24,'magic light',0.29999999999999998889,0.29999999999999998889,1.0,5.0);
INSERT INTO light VALUES(25,'magic light',0.29999999999999998889,0.29999999999999998889,1.0,6.0);
INSERT INTO light VALUES(26,'magic light',0.29999999999999998889,0.29999999999999998889,1.0,7.0);
INSERT INTO light VALUES(27,'magic light',0.29999999999999998889,0.29999999999999998889,1.0,8.0);
INSERT INTO light VALUES(28,'magic light',0.29999999999999998889,0.29999999999999998889,1.0,9.0);
INSERT INTO light VALUES(29,'magic light',0.29999999999999998889,0.29999999999999998889,1.0,10.0);
INSERT INTO light VALUES(30,'magic light',0.29999999999999998889,0.29999999999999998889,1.0,11.0);
INSERT INTO light VALUES(31,'tiny dim red',1.0,0.29999999999999998889,0.29999999999999998889,1.0);
INSERT INTO light VALUES(32,'small dim red',1.0,0.29999999999999998889,0.29999999999999998889,2.0);
INSERT INTO light VALUES(33,'small dim red',1.0,0.29999999999999998889,0.29999999999999998889,3.0);
INSERT INTO light VALUES(34,'red',1.0,0.29999999999999998889,0.29999999999999998889,4.0);
INSERT INTO light VALUES(35,'red',1.0,0.29999999999999998889,0.29999999999999998889,5.0);
INSERT INTO light VALUES(36,'red',1.0,0.29999999999999998889,0.29999999999999998889,6.0);
INSERT INTO light VALUES(37,'red',1.0,0.29999999999999998889,0.29999999999999998889,7.0);
INSERT INTO light VALUES(38,'red',1.0,0.29999999999999998889,0.29999999999999998889,8.0);
INSERT INTO light VALUES(39,'red',1.0,0.29999999999999998889,0.29999999999999998889,9.0);
INSERT INTO light VALUES(40,'red',1.0,0.29999999999999998889,0.29999999999999998889,10.0);
INSERT INTO light VALUES(41,'green',0.29999999999999998889,1.0,0.29999999999999998889,1.0);
INSERT INTO light VALUES(42,'green',0.29999999999999998889,1.0,0.29999999999999998889,2.0);
INSERT INTO light VALUES(43,'green',0.29999999999999998889,1.0,0.29999999999999998889,3.0);
INSERT INTO light VALUES(44,'green',0.29999999999999998889,1.0,0.29999999999999998889,4.0);
INSERT INTO light VALUES(45,'green',0.29999999999999998889,1.0,0.29999999999999998889,5.0);
INSERT INTO light VALUES(46,'green',0.29999999999999998889,1.0,0.29999999999999998889,6.0);
INSERT INTO light VALUES(47,'green',0.29999999999999998889,1.0,0.29999999999999998889,7.0);
INSERT INTO light VALUES(48,'green',0.29999999999999998889,1.0,0.29999999999999998889,8.0);
INSERT INTO light VALUES(49,'green',0.29999999999999998889,1.0,0.29999999999999998889,9.0);
INSERT INTO light VALUES(50,'green',0.29999999999999998889,1.0,0.29999999999999998889,10.0);
CREATE TABLE IF NOT EXISTS "damagetype" (
	"id" INTEGER PRIMARY KEY,
	"name" TEXT
, "color" TEXT);
INSERT INTO damagetype VALUES(0,'None','white');
INSERT INTO damagetype VALUES(1,'All','white');
INSERT INTO damagetype VALUES(2,'Physical','white');
INSERT INTO damagetype VALUES(3,'Fire','light_red');
INSERT INTO damagetype VALUES(4,'Cold','light_blue');
INSERT INTO damagetype VALUES(5,'Lightning','light_yellow');
INSERT INTO damagetype VALUES(6,'Poison','light_green');
INSERT INTO damagetype VALUES(7,'Bleed','white');
INSERT INTO damagetype VALUES(8,'Stun','white');
CREATE TABLE IF NOT EXISTS "stattype" (
	"id" INTEGER PRIMARY KEY,
	"name" TEXT,
	"upgrade_scale" REAL DEFAULT(1.0)
);
INSERT INTO stattype VALUES(0,'Buff',1.0);
INSERT INTO stattype VALUES(1,'Buff Level',1.0);
INSERT INTO stattype VALUES(2,'Buff Duration',1.0);
INSERT INTO stattype VALUES(3,'Buff Sound',1.0);
INSERT INTO stattype VALUES(4,'Health',1.0);
INSERT INTO stattype VALUES(5,'Max Health',0.5);
INSERT INTO stattype VALUES(6,'Mana',1.0);
INSERT INTO stattype VALUES(7,'Max Mana',0.5);
INSERT INTO stattype VALUES(8,'Health Regen',1.0);
INSERT INTO stattype VALUES(9,'Mana Regen',1.0);
INSERT INTO stattype VALUES(10,'Health Update Multiplier',1.0);
INSERT INTO stattype VALUES(11,'Attack Power',1.0);
INSERT INTO stattype VALUES(12,'Min Damage',1.0);
INSERT INTO stattype VALUES(13,'Max Damage',1.0);
INSERT INTO stattype VALUES(14,'Armor',1.0);
INSERT INTO stattype VALUES(15,'Damage Block',1.0);
INSERT INTO stattype VALUES(16,'Pierce',1.0);
INSERT INTO stattype VALUES(17,'Move Speed',0.25);
INSERT INTO stattype VALUES(18,'Stamina',1.0);
INSERT INTO stattype VALUES(19,'Battle Speed',0.25);
INSERT INTO stattype VALUES(20,'Hit Chance',1.0);
INSERT INTO stattype VALUES(21,'Evasion',0.25);
INSERT INTO stattype VALUES(22,'Stunned',1.0);
INSERT INTO stattype VALUES(23,'Resist Type',1.0);
INSERT INTO stattype VALUES(24,'Resist',0.25);
INSERT INTO stattype VALUES(25,'Experience',1.0);
INSERT INTO stattype VALUES(26,'Gold',1.0);
INSERT INTO stattype VALUES(27,'GoldStolen',1.0);
INSERT INTO stattype VALUES(28,'Invisible',1.0);
INSERT INTO stattype VALUES(29,'Belt Size',1.0);
INSERT INTO stattype VALUES(30,'Skill Bar Size',1.0);
INSERT INTO stattype VALUES(31,'Unlock Skill Point',1.0);
INSERT INTO stattype VALUES(32,'All Skills',1.0);
INSERT INTO stattype VALUES(33,'Miss',1.0);
INSERT INTO stattype VALUES(34,'Crit',1.0);
INSERT INTO stattype VALUES(35,'Flee',1.0);
INSERT INTO stattype VALUES(36,'Battle',1.0);
INSERT INTO stattype VALUES(37,'Hunt',1.0);
INSERT INTO stattype VALUES(38,'Bounty Hunt',1.0);
INSERT INTO stattype VALUES(39,'Teleport',1.0);
INSERT INTO stattype VALUES(40,'Light',1.0);
INSERT INTO stattype VALUES(41,'Clock',1.0);
INSERT INTO stattype VALUES(42,'Mana Reduction Ratio',1.0);
INSERT INTO stattype VALUES(43,'Damage Type',1.0);
INSERT INTO stattype VALUES(44,'Physical Power',1.0);
INSERT INTO stattype VALUES(45,'Fire Power',1.0);
INSERT INTO stattype VALUES(46,'Cold Power',1.0);
INSERT INTO stattype VALUES(47,'Lightning Power',1.0);
INSERT INTO stattype VALUES(48,'Bleed Power',1.0);
INSERT INTO stattype VALUES(49,'Poison Power',1.0);
INSERT INTO stattype VALUES(50,'Pet Power',1.0);
INSERT INTO stattype VALUES(51,'Heal Power',1.0);
INSERT INTO stattype VALUES(52,'Mana Power',1.0);
INSERT INTO stattype VALUES(53,'Respec',1.0);
INSERT INTO stattype VALUES(54,'Corpse',1.0);
INSERT INTO stattype VALUES(55,'SummonLimit',1.0);
INSERT INTO stattype VALUES(56,'Rebirth',1.0);
INSERT INTO stattype VALUES(57,'DiagonalMovement',1.0);
INSERT INTO stattype VALUES(58,'MapChange',1.0);
INSERT INTO stattype VALUES(59,'Clear Buff',1.0);
INSERT INTO stattype VALUES(60,'Gold Bonus',1.0);
INSERT INTO stattype VALUES(61,'Exp Bonus',1.0);
INSERT INTO stattype VALUES(62,'Summon Buff',1.0);
INSERT INTO stattype VALUES(63,'Lava Protection',1.0);
INSERT INTO stattype VALUES(64,'Difficulty',1.0);
INSERT INTO stattype VALUES(65,'Cooldown',1.0);
INSERT INTO stattype VALUES(66,'RebirthWealth',1.0);
INSERT INTO stattype VALUES(67,'RebirthWisdom',1.0);
INSERT INTO stattype VALUES(68,'RebirthKnowledge',1.0);
INSERT INTO stattype VALUES(69,'RebirthPower',1.0);
CREATE TABLE IF NOT EXISTS "slottype" (
	"id" INTEGER PRIMARY KEY,
	"name" TEXT
);
INSERT INTO slottype VALUES(-1,'None');
INSERT INTO slottype VALUES(0,'Head');
INSERT INTO slottype VALUES(1,'Body');
INSERT INTO slottype VALUES(2,'Legs');
INSERT INTO slottype VALUES(3,'Hand 1');
INSERT INTO slottype VALUES(4,'Hand 2');
INSERT INTO slottype VALUES(5,'Ring 1');
